Repo Name,URL,LLM used,LLM,LLM,Lang Used,Category,,Unique,Count,,Unique,Count,,Laguage,Count,,Category,Count,,,,
0aaryan/create.ai,https://github.com/0aaryan/create.ai,openai,openai,openai,Python,Domain-Specific Applications,,openai,194,,openai,194,,Python,100,,Domain-Specific Applications,54,,,,
voxel51/voxelgpt,https://github.com/voxel51/voxelgpt,openai,openai,openai,Multi-language,Software Development,,multiple LLMs,45,,multiple LLMs,45,,Multi-language,193,,Software Development,131,,,,
kaushalpowar/Rumi_GPT,https://github.com/kaushalpowar/Rumi_GPT,openai,openai,openai,Python,Software Development,,platform/framework,38,,platform/framework,38,,,,,Learning & Research,75,,,,
karan842/cooking-langchain,https://github.com/karan842/cooking-langchain,openai,openai,openai,Python,Software Development,,llama,4,,others,16,,,,,Underdeveloped,33,,,,
jiatastic/GPTInterviewer,https://github.com/jiatastic/GPTInterviewer,"openai,
opt",multiple LLMs,multiple LLMs,Multi-language,Domain-Specific Applications,,claude,4,,,293,,,,,,,,,,
jbpayton/langchain-stock-screener,jbpayton/langchain-stock-screener,openai,openai,openai,Python,Domain-Specific Applications,,palm,1,,,,,,,,,,,,,
infiniterik/detoxify,https://github.com/infiniterik/detoxify,openai,openai,openai,Python,Learning & Research,,opt,1,,,,,,,,,,,,,
kyegomez/swarms,https://github.com/kyegomez/swarms,openai,openai,openai,Multi-language,Software Development,,amazon,3,,,,,,,,,,,,,
haven-jeon/LegalQA,https://github.com/haven-jeon/LegalQA,openai,openai,openai,Multi-language,Domain-Specific Applications,,mistral,1,,,,,,,,,,,,,
github-prathma/AskVCenter,https://github.com/github-prathma/AskVCenter,openai,openai,openai,Python,Software Development,,gemini,1,,,,,,,,,,,,,
garyb9/twitter-llm-bot,https://github.com/garyb9/twitter-llm-bot,"framework:langchain,
platform:huggingface",platform/framework,platform/framework,Multi-language,Software Development,,lamda,1,,,,,,,,,,,,,
farukalamai/ai-chatbot-using-Langchain-Pinecone,https://github.com/farukalamai/ai-chatbot-using-Langchain-Pinecone,openai,openai,openai,Python,Software Development,,,293,,,,,,,,,,,,,
explodinggradients/ragas,https://github.com/explodinggradients/ragas,"openai,
opt",multiple LLMs,multiple LLMs,Multi-language,Software Development,,,,,,,,,,,,,,,,
ericmjl/llamabot,https://github.com/ericmjl/llamabot,"llama,
mistral,
openai",multiple LLMs,multiple LLMs,Multi-language,Learning & Research,,,,,,,,,,,,,,,,
