Repo Name,URL,Languages,Lang Used,,Laguage,Percentage,Count
0aaryan/create.ai,https://github.com/0aaryan/create.ai,Python: 100.0%,Python,,Python,34.12969283,100
voxel51/voxelgpt,https://github.com/voxel51/voxelgpt,"Python: 89.7%,
TypeScript: 8.9%,
JavaScript: 0.9%,
Shell: 0.5%",Multi-language,,Multi-language,65.87030717,193
kaushalpowar/Rumi_GPT,https://github.com/kaushalpowar/Rumi_GPT,Python: 100.0%,Python,,,100,293
karan842/cooking-langchain,https://github.com/karan842/cooking-langchain,Python: 100.0%,Python,,,,
jiatastic/GPTInterviewer,https://github.com/jiatastic/GPTInterviewer,"Python: 80.8%,
TypeScript: 7.4%,
HTML: 4.6%,
CSS: 4.3%,
JavaScript: 2.8%",Multi-language,,,,
jbpayton/langchain-stock-screener,jbpayton/langchain-stock-screener,Python: 100.0%,Python,,,,
infiniterik/detoxify,https://github.com/infiniterik/detoxify,Python: 100.0%,Python,,,,
kyegomez/swarms,https://github.com/kyegomez/swarms,"Python: 99.9%,
Dockerfile: 0.1%,
Shell: 0.0%",Multi-language,,,,
haven-jeon/LegalQA,https://github.com/haven-jeon/LegalQA,"Python: 98.3%,
Dockerfile: 0.9%,
Shell: 0.8%",Multi-language,,,,
github-prathma/AskVCenter,https://github.com/github-prathma/AskVCenter,Python: 100.0%,Python,,,,
garyb9/twitter-llm-bot,https://github.com/garyb9/twitter-llm-bot,"Python: 99.6%,
Dockerfile: 0.4%",Multi-language,,,,
farukalamai/ai-chatbot-using-Langchain-Pinecone,https://github.com/farukalamai/ai-chatbot-using-Langchain-Pinecone,Python: 100.0%,Python,,,,
explodinggradients/ragas,https://github.com/explodinggradients/ragas,"Python: 98.5%,
Makefile: 0.7%,
Jupyter Notebook: 0.7%,
Dockerfile: 0.0%",Multi-language,,,,
