Repo Name,URL,What,How,Who,Reference,Contribution,Category,,,,,,,,
0aaryan/create.ai,https://github.com/0aaryan/create.ai,Yes,Yes,No,No,Yes,Domain-Specific Applications,,Category,What,How,Who,Reference,Contribution,Total
voxel51/voxelgpt,https://github.com/voxel51/voxelgpt,Yes,Yes,Yes,No,Yes,Software Development,,Domain-Specific Applications,50,38,16,13,16,133
kaushalpowar/Rumi_GPT,https://github.com/kaushalpowar/Rumi_GPT,Yes,No,No,No,Yes,Software Development,,Software Development,117,123,40,44,61,385
karan842/cooking-langchain,https://github.com/karan842/cooking-langchain,No,No,No,Yes,No,Software Development,,Learning & Research,70,58,15,40,18,201
jiatastic/GPTInterviewer,https://github.com/jiatastic/GPTInterviewer,Yes,Yes,Yes,Yes,Yes,Domain-Specific Applications,,Underdeveloped,0,23,1,5,1,30
jbpayton/langchain-stock-screener,https://github.com/jbpayton/langchain-stock-screener,Yes,Yes,Yes,Yes,Yes,Domain-Specific Applications,,,,,,,,
infiniterik/detoxify,https://github.com/infiniterik/detoxify,Yes,Yes,Yes,Yes,No,Learning & Research,,,,,,,,
kyegomez/swarms,https://github.com/kyegomez/swarms,Yes,Yes,Yes,Yes,Yes,Software Development,,Category,What,How,Who,Reference,Contribution,
haven-jeon/LegalQA,https://github.com/haven-jeon/LegalQA,No,Yes,Yes,Yes,No,Domain-Specific Applications,,Domain-Specific Applications,37.59398496,28.57142857,12.03007519,9.77443609,12.03007519,100
github-prathma/AskVCenter,https://github.com/github-prathma/AskVCenter,Yes,Yes,No,No,No,Software Development,,Software Development,30.38961039,31.94805195,10.38961039,11.42857143,15.84415584,100
garyb9/twitter-llm-bot,https://github.com/garyb9/twitter-llm-bot,Yes,Yes,Yes,Yes,Yes,Software Development,,Learning & Research,34.82587065,28.85572139,7.462686567,19.90049751,8.955223881,100
farukalamai/ai-chatbot-using-Langchain-Pinecone,https://github.com/farukalamai/ai-chatbot-using-Langchain-Pinecone,No,Yes,No,No,No,Software Development,,Underdeveloped,0,76.66666667,3.333333333,16.66666667,3.333333333,100
explodinggradients/ragas,https://github.com/explodinggradients/ragas,Yes,Yes,Yes,Yes,Yes,Software Development,,,,,,,,
ericmjl/llamabot,https://github.com/ericmjl/llamabot,Yes,Yes,Yes,Yes,Yes,Learning & Research,,,,,,,,
webgrip/PuttyGPT,https://github.com/webgrip/PuttyGPT,Yes,Yes,No,No,Yes,Software Development,,,,,,,,
langchain-ai/langchain-benchmarks,https://github.com/langchain-ai/langchain-benchmarks,Yes,Yes,No,Yes,No,Learning & Research,,,,,,,,
langfuse/langfuse-python,https://github.com/langfuse/langfuse-python,No,Yes,Yes,Yes,No,Software Development,,,,,,,,
venkytv/botmand,https://github.com/venkytv/botmand,Yes,Yes,No,Yes,No,Software Development,,,,,,,,
shroominic/codeinterpreter-api,https://github.com/shroominic/codeinterpreter-api,Yes,Yes,No,No,Yes,Software Development,,,,,,,,
salesforce/DialogStudio,https://github.com/salesforce/DialogStudio,Yes,Yes,Yes,Yes,Yes,Learning & Research,,,,,,,,
romaingrx/Second-Order-Jailbreak,https://github.com/romaingrx/Second-Order-Jailbreak,Yes,Yes,No,No,No,Learning & Research,,,,,,,,
sixvo-labs/Sapir,https://github.com/sixvo-labs/Sapir,Yes,No,No,No,No,Learning & Research,,,,,,,,
pors/langchain-chat-websockets,https://github.com/pors/langchain-chat-websockets,No,Yes,No,No,No,Learning & Research,,,,,,,,
petermartens98/satGPT,https://github.com/petermartens98/satGPT,Yes,Yes,No,No,No,Software Development,,,,,,,,
oscaem/debug50,https://github.com/oscaem/debug50,Yes,Yes,No,No,No,Learning & Research,,,,,,,,
orgexyz/BlockAGI,https://github.com/orgexyz/BlockAGI,Yes,Yes,Yes,Yes,Yes,Software Development,,,,,,,,
solygambas/python-openai-projects,https://github.com/solygambas/python-openai-projects,Yes,Yes,No,Yes,No,Learning & Research,,,,,,,,
microsoft/autogen,https://github.com/microsoft/autogen,Yes,Yes,Yes,Yes,Yes,Software Development,,,,,,,,
microsoft/CoML,https://github.com/microsoft/CoML,Yes,Yes,Yes,Yes,No,Software Development,,,,,,,,
malcolmk181/athena,https://github.com/malcolmk181/athena,Yes,Yes,No,Yes,No,Software Development,,,,,,,,
ma2za/telegram-llm-bot,https://github.com/ma2za/telegram-llm-bot,Yes,Yes,No,Yes,No,Software Development,,,,,,,,
log10-io/log10,https://github.com/log10-io/log10,Yes,Yes,No,Yes,Yes,Software Development,,,,,,,,
definitive-io/human-eval-sampling-benchmark,https://github.com/definitive-io/human-eval-sampling-benchmark,Yes,Yes,No,Yes,No,Learning & Research,,,,,,,,
shamspias/langchain-chat,https://github.com/shamspias/langchain-chat,Yes,Yes,No,No,No,Software Development,,,,,,,,
daveebbelaar/langchain-experiments,https://github.com/daveebbelaar/langchain-experiments,Yes,Yes,Yes,No,No,Learning & Research,,,,,,,,
combinatrix-ai/PromptTrail,https://github.com/combinatrix-ai/PromptTrail,Yes,Yes,No,Yes,Yes,Software Development,,,,,,,,
Leo310/papa-backend,https://github.com/Leo310/papa-backend,Yes,Yes,Yes,No,Yes,Software Development,,,,,,,,
Kav-K/GPTDiscord,https://github.com/Kav-K/GPTDiscord,Yes,Yes,Yes,No,No,Software Development,,,,,,,,
Jaykef/awesome-openAI,https://github.com/Jaykef/awesome-openAI,Yes,Yes,No,Yes,No,Learning & Research,,,,,,,,
